title,link,body
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/38326487?source=searchResults#/jobs/data-analyst-jobs,missing
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/39684042?source=searchResults#/jobs/data-analyst-jobs,"Salary negotiable









Bexhill-on-Sea



, East Sussex




Permanent, full-time







                        Apply on employer's website
                    


 Hastings Direct, Data AnalystAre you commercially and analytically minded and looking to play a fundamental role in an exciting and evolving product?The Telematics team (based in our Bexhill HQ) is a forward-thinking team looking to revolutionize and shape the way we look at insurance in the future. This exciting new role would place you in the heart of the analytical & pricing team where you can influence  and drive strategic initiatives central to achieving our group objectives.A STEM degree and experience is advantageous but, if you have strong baseline skills in software such as Excel and a keen desire to learn, the supportive Telematics team will invest in your development. You will learn from the experts and be able to carve out  your career in a role that will give you exposure to some key senior partners and departments crucial to the success of our business.The RoleThe purpose of this role is to act as the key point of contact for the Telematics team to complete analysis in a variety of areas to inform both commercial and customer outcomes using key analysis.Your remit will include the following;  Building and delivering robust MI and BI reporting to provide oversight to key stakeholders to support trading and business decisions, with a view of identifying key trends, spotting trading anomalies and working with the data analytics & pricing manager  to take action to support performanceKey point of contact for technical, data and analytical requests to support wider business functions in achieving the wider group's objectivesEnd-to-end responsibility for the implementation and testing of retail pricing changes and practices, providing detailed impact analysis for company and customerConduct ad hoc analysis, creating & testing various hypotheses raised by the teamOwnership of key business processes ensuring delivery within agreed timeframes, with an eye to improve the team's productivity via automated solutions Required experience  Highly analytical; able to clean, scrutinize and interrogate high volumes of complex data and translate into meaningful reports, insights and high level management informationHave a passion for data quality and integrity, cleansing and querying data from structured databasesAdvanced skills in the use of MS office applicationsGood communication and presentation skills (both verbal and written)Keen eye for detailPro-active approach to driving changeConfidence to express opinions and challenge othersEducated to A level in a numerical field (minimum) Desirable  Advantageous to have a BSc/MSc in Statistics / Computer Science / Physics / Operational Research / Engineering / Maths or other quantitative fieldExperience working with analytical, statistical & data manipulation packages (e.g. SQL, R, Python etc.)Strong knowledge of Insurance market & competitorsProven research skills, including ability to formulate hypotheses and identify ways to prove or disprove these with targeted testsExperience delivering commercial targets Personal attributes  As a growing business, your role can really help make an impact on both the development and delivery of this function - it will be exciting, busy, varied and challenging so a roll sleeves up, hands-on approach is an absolute must.Natural problem solver who communicates effectively to all stakeholders.This is a dynamic, fast paced working environment - candidates should be comfortable working within that setting and demonstrate a proactive working style.Great attention to detail - systematic approach to managing your workload.Embraces opportunities to develop and learn - shows a great level of self-awareness and drive. Benefits for youPlease find some of the great benefits we offer here at Hastings Direct;  Competitive basic salary which we will share with you upon shortlisting, but do feel free to email the Recruitment team for more details in advance of your application - Flexible working opportunities working 1-2 days a week from homeUp to 5% bonus earning potential25 days holidayCompetitive pensionFlexible benefits - buy or sell holidays, opt in dental and healthcare cash plansDiscounted Hastings Direct productsA test and learn culture Hastings Group is an equal opportunities employer which means we treat people fairly. We welcome applications from all suitably skilled persons regardless of their gender, age, race, disability, ethnic background, religion/belief, sexual orientation, gender  reassignment or marital/family status. Please also note that we have a thorough referencing process, which includes credit and criminal record checks. 


Required skills

SQL
Statistics
VBA
R



 








                        Apply on employer's website
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 39684042
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/39836555?source=searchResults#/jobs/data-analyst-jobs,"£35,000 - £40,000 per annum















London



, South East England




Permanent, full-time







                        Apply now
                    


 Data & Business Analyst - Programmatic Agency - £35,000 - £40,000 plus bonus We are working with a programmatic agency on recruiting a client facing Data Analyst. They are a superb business in central London, who partner with some of the UK's best-known brands including Porsche, Oakley, McDonalds and Pepsi. The Job  Ideal for someone who enjoys analysing data and providing actionable insight through dasbboardsWork with the technical data analysts and Datorama to interpret the data and then visualise insight to the clientAmazing opportunity to work on platforms including SQL, Python, Scikit-Learn, Pandas, Numpy as well as some Java. You  Loves facing clients and providing insight and reflection on the data gatheredExperience with Excel and data visualisation is essential Apply Now You can apply for this role now by sending us your CV or by calling us now! Don't forget to register as a candidate too. Simon PlestedSenior Manager - Data & AnalyticsSphere Digital Recruitment currently have a variety of job opportunities across data and analytics so feel free to get in touch with us to find out how we can help you. Please take a look at our website. Sphere Digital Recruitment are specialists in placing marketing, sales, analytics, product and creative ?talent globally. 


 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 39836555
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/39673659?source=searchResults#/jobs/data-analyst-jobs,"Salary negotiable









Andover



, Hampshire




Contract, full-time







                        Apply now
                    


 Data Analyst This is an exciting opportunity to join a team of Data Analysts on a one year fixed-term contract covering maternity leave. This centralised team provide in-depth analysis and reporting to enable their Client's inventory to be checked and managed to the  highest level. This ensures consistently high standards across all of their European Client base.Responsibilities  Using Microsoft Dynamics, track and control the process of consignment audits and reporting to both internal and external customersInvestigating historical Purchase Order NumbersEnsure integrity and accuracy of information recorded and reportedRecommend and action corrections of inventory records in clients’ systemsAnalysing data & creating detailed reportsManage follow up actions with the Field Data Analysts and the local customer service teamsProcessing transactions in Clients’ ERP systems Knowledge and Support of all customer accountsAbility to provide detailed management reporting Experience  Strong IT knowledge - advanced ability and extensive use of Excel/databases for data analysis purposes is essentialExperience of dealing with large amounts of data, with excellent attention to detail - ideally have previous experience and ability to demonstrate knowledge of stock-take and audit proceduresPrevious experience of working with SAP is desirable – processing transactions and investigating product order historyStrong analytical skills – able to interpret data using SAP and Excel reports and skilled in problem solving, organisation and planningAble to work within strict time pressures, with high sense of urgency and managing multiple prioritiesProven ability to convey complex data and concepts to all levels of the organisation in a manner easily understoodStrong interpersonal and communication skills (both written and spoken) with an ability to build effective relationships with personnel at all levels of the organisationA team player with the ability to work under pressure and prioritise to meet targets and deadlines Hours; Monday-Friday 0900-1730, with 20 days holiday Salary; DOE 1-1 Recruitment is one of the leading recruitment agencies for jobs in Andover for permanent, temporary and contract recruitment solutions. Due to the high volume of applications we're receiving, if you do not hear from a consultant within 5 days, unfortunately  your application has been unsuccessful on this occasion. 


 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 39673659
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/37799220?source=searchResults#/jobs/data-analyst-jobs,"£30,000 - £50,000 per annum















Central London



, London




Permanent, full-time







                        Apply now
                    


 DATA ANALYST - 30,000-50,000 + BENEFITS, LONDON My client is an established consulting firm who are looking for numerical, analytical Data Analysts to join their market-leading data analytics advisory practice delivering professional services to a range of financial institutions, including investment  banks, hedge funds and central banks, and energy, retail, telecoms, utilities and government clients.  This would be a great role for if you are looking to work on complex data analytics problems in a big data environment. You will be working on proactive fraud prevention management, anti-money laundering, concept clustering, social network analysis, sentiment  analysis, data visualization and dashboarding, developing their centres of excellence internally and their overall service offerings.  This firm is well-known for providing employees with opportunity to expand their experience, knowledge, and their skills in the data analytics, fraud investigations, forensic data analytics, and the Big Data space. You will also develop consulting skills  and will work with clients, fraud investigators, internal and external auditors, lawyers and regulatory authorities. They have a flexible culture, with inclusive values, and lots of development opportunities.  Please note for all roles, the skills which you have gained that could be applied to these roles are more important than the type of data you have worked with. For the junior roles, you do NOT need any experience in Forensic / Fraud Data Analytics, towards the more Senior End it would be preferential to have some industry expertise but it is not essential.  At all levels you must have experience in one or more of the following:  Data analysis, data manipulation and an understanding of common data quality problemsAnalytical expertise: SAS; SPSS; R; SAP HANAData management/engineering skills: SQL; ETL; PythonBig data tools: Hadoop; HIVE; PIGVisualisation skills: Qlikview; Tableau; D3 Essential skills:   It is essential you have a minimum of a Degree in a technical or analytical based subject (e.g. Computer Science, Mathematics, Physics, Engineering) from a top-tier University with good A Levels (or equivalent)  Depending on experience you will need to show experience of, or the ability to develop skills in the following:  Show great skill in stakeholder and project managementBe proactive, diligent and interested in the subject matter; you won’t be the sort of person who is always waiting for the next stage of the process: you will be inquisitive and proactiveShow great attention to detailDesire to work in a leading consulting firm (with this comes a structured career path, regular appraisals, with specific KPIs you come up with in order to further your own career) In-depth analysis of complex dataExperience in writing reports and presentations to explain the findingsAbility to come up with solutions to complex problemsAbility to manage time, prioritise tasks and work independentlyExcellent communication skills, both written and oral This is a great place to develop a career, as the organisation has an excellent reputation on a global scale, and a wonderful client roster. You will have the opportunity to work with subject matter experts and to learn new disciplines as you grow with the  firm. The successful candidates will perform a client delivery focused role, which typically involves the management, manipulation and analysis of data and transformations using innovative techniques to leverage insight into a client’s structured and unstructured  data, to provide answers to complex analytical problems. This team are commited to being the best at what they do.  There is a need for great people with strong analytics knowledge, as more emphasis is being put on not only understanding the issues companies are facing with their data, but how they can better leverage their data and use it to mitigate risk and fraud.  Benefits include: a great salary, healthcare, gym, pension plan, mobile phone, and laptop.  


 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 37799220
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/37080354?source=searchResults#/jobs/data-analyst-jobs,"Competitive salary









London



, South East England




Permanent, full-time







                        Apply now
                    


 As a Data Analyst at Sagacity Solutions, you will often work on client sites in multi-disciplinary project teams and under-take client work. You will be passionate and committed to seeing transformational change projects and programmes through to successful  completion as time efficiently as possible for the ultimate benefit of both our clients’ and the Sagacity teams. Tasks will include: Data Sourcing  Define required datasets for analysisObtain data though available channels o Work with Sagacity developers or client BI / technical teams o Use client management information systems (e.g. Hyperion / Business Objects etc.) o Query directly from source tables / databases o Build from existing flat files / SharePoint repositories  Ensure secure transfer and storage of client dataLoad and transform / manipulate data as required to get into a suitable format for analysisValidate data quality or fix isolated issues as required Analysis & Modelling  Data analysis and identification of key and emerging trendsInvestigate key drivers and draw relationships between different items of informationUndertake business casing and scenario modellingUse statistical techniques where appropriate to test and model predictive relationshipsIdentify actionable insight from datasets in response to business questions Reporting  Design and streamline processes to obtain and prepare regular and ad-hoc reportingUtilise data visualisation software (e.g. Tableau) as appropriateDesign and prepare management information packs Presentation & communication  Work with Sagacity team members to discuss and develop findingsPrepare material and communicate to summarise findings, using non-technical language as required by audienceUse commercial understanding & awareness to present findings, key trends, issues and potential solutions in context Requirements Competencies:  Our Data Analysts have excellent communication, planning, prioritisation and organisational skills. They demonstrate strong commercial awareness, which promotes and protects the interests of both Sagacity and our clients alike. Key competencies and requirements  include:  Excellent planning and reportingClear and transparent communicationHigh level attention to detailClient relationship managementLogical and structured approachCritical thinking and problem solvingDecision-makingInfluencing, leading, negotiatingTeam playerConflict managementAdaptabilityStress tolerancePresentable, professional, punctualResponsibleAbility to travel throughout the UK to client site Education, Training, Skills & Experience You will have strong problem solving and quantitative skills, as well as a demonstrable ability to articulate complex and inter-connected concepts clearly. You will have good commercial awareness and the ability to understand and analyse key business drivers,  and the impact they have, and make recommendations for change, for example, to mitigate risk or enhance business performance for a business. You will have the ability to work to very tight deadlines, but also to manage your own time and deliverables whilst working on large projects. The ability to effectively prioritise and execute tasks in a high-pressure environment and to meet fixed deadlines  is essential. Excellent communication skills are also required as you will liaise with senior professionals both within Sagacity and with our clients. In the role, you will initiate and manage the regular review and interpretation of information and data. You will manipulate large amounts of data in Excel and use extraction and reporting tools. You will manage the delivery, commercial analysis and presentation  of the data to the client. You will ideally be educated to degree level in a numerate subject, and with strong A-levels (in mathematical/ scientific based subjects) and will have proven experience in undertaking detailed analysis in a variety of relevant industries and the ability  to operate effectively in unfamiliar environments, remaining calm under pressure and agile in approach. In order to be successful in this role, you should be able to demonstrate the following:  Ability to write succinctly and clearlyExperience of financial planning, analysis and scenario modellingComfort in building business casesAgility - able to turn hand to a problem, resourcefulProblem solving & resourcefulness and ability to find an innovative approach to a problemAbility to communicate findings of complex analysis to non-financial and non-technical stakeholdersSelf-starting - ability to manage and prioritise your own workloadDesire to learn and improve skills Desired Skills & Experience:  Commercial experience in relevant industries (Telcoms, Banking, Utilities)Excellence in MS Excel including advanced Pivot tablesExperience of MS Access and other database toolsExperience of using to SQL to generate basic queries (more advance SQL skills beneficial)Experience of business information solutions such as Business Objects or Hyperion beneficialExperience of data visualisation tools such as QlikView / Tableau/MS PowerView beneficial 


Required skills

Analytical Skills
Data Analysis
Management
Project Management
Stakeholder Management



 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 37080354
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/39708443?source=searchResults#/jobs/data-analyst-jobs,"Salary negotiable









Chester



, Cheshire




Permanent, full-time







                        Apply now
                    


 Data Analyst Chester£40,000  ShortList Recruitment are working with a fantastic company based in Chester who currently have a requirement for a Data Analyst.   The Data Analyst will have experience working within a customer facing operational environment reporting and forecasting data. The main focus of this role is to discover and supply data to various departments in order to support business decisions.   Key responsibilities for the Data Analyst are:  Technical proficiency data interpretation, writing SQL queries and ability to extract data from multiple sourcesCreate and manage a range of reports, both internal and external, handling customer and company data Bring flare and insight to data which can be utilise statistics which could be used for PR or planningInvestigate and supply solutions for data issuesExcellent analytical skills along with the ability to collect, organise and analyse large amounts of dataAbility to understand a problem and correct it in a timely fashion The Data Analyst will enjoy working with data on a daily basis, analysing and discovering trends and using the data to enhance various KPI's within the company and their client data.  The Data Analyst role will reward the right candidate with a salary of up to £40,000 and is easily commutable from Chester, Wrexham, North Wales, Cheshire and Liverpool.  Click APPLY NOW for immediate consideration!  


Required skills

.



 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 39708443
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/39744118?source=searchResults#/jobs/data-analyst-jobs,"£35,000 - £50,000 per annum















Guildford



, Surrey




Permanent, full-time







                        Apply now
                    


 **DATA ANALYST OPPORTUNITY** I'm currently recruiting for a Data Analyst with strong experience with SQL and Python to join a market leader in patient care in Guildford Surrey. This is a critical role that will require you to have excellent communication skills and proven experience  working with clients, alongside hands on experience working with Excel.   The BI Analyst role: The BI Analyst will be coming on-board to work within the small Data team that is rapidly expanding from the New Year onwards. A successful candidate will be passionate about working with data and thrive working within a team environment with strong interpersonal  communication and must be a good team player. Key Responsibilities for the Data Analyst:  Analyse data from large healthcare datasetsProduce bespoke reportsBuild data-driven software products  Essential skills for the Data Analyst:  Proficiency with SQL and PythonExcellent Excel proficiencyEducated to Msc/PhD level in a technical subjectStrong communication skillsEffective presentation, documentation and interpersonal skills Preferred skills for the Data Analyst:  Previous pharmaceutical/healthcare experienceExperience working with Big Data/ Datawarehouse ToolsCloud- based work (AWS preferred)Machine learning/backend software development experience The role is paying £35,000 - £50,000 depending on experience, with initial interviews taking place in the next few days.   If this role is of interest or you require more information, please get in touch with an updated CV to or call on to discuss further.We also offer a referral fee for successful placement, so if someone you know is suitable, please also get in touch. 


 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 39744118
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/39698579?source=searchResults#/jobs/data-analyst-jobs,"Salary negotiable









Nottinghamshire



, East Midlands




Permanent, full-time







                        Apply now
                    


 Vacancy: Data AnalystLocation: North NottinghamshireSalary: Competitive  We have an excellent opportunity for a Analyst to work within a busy Finance department for one of our very well-established clients based in the North Nottinghamshire area The Data Analyst roles involve:  Allocating detailed and multiple costs for jobs and creating invoices to clients using Excel Pivot tables, V look up and Macros Liaising closely with other departments within the business to verify and gather information with regards to costing and invoices Reporting on financial data to clients to support invoices using Excel Pivot tables, V Look up and Macros to create the reports Answering queries from clients both over the phone and via emailExtracting data to produce financial reportsUndertaking ad-hoc project work as required The ideal Data Analyst candidate will ideally have the following experience:  Strong administration background with a great attention to detailExperience of invoicing and costing works through timesheets and use of management information systems is an advantage Excellent Microsoft Excel skills, ideally with experience of SQL, Pivot Tables, Macros and V Look upYou will have the ability to work unsupervised and to deadlines whilst under pressure Accessible from Derby / Nottingham / Sheffield / Mansfield / Chesterfield Interested in the Data Analyst vacancy? Please call Turner Fox on or email your CV  Similar roles would be: Analyst / Data analyst / Excel / SQL / Pivot Tales / V Look-up 


Required skills

Analyst / Data / Excel / V Lookups / Macros / Pivot Tables / MI Reports



 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 39698579
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/39709867?source=searchResults#/jobs/data-analyst-jobs,"Competitive salary









Slough



, Berkshire




Permanent, full-time



                n/a
            






                        Apply now
                    


A fantastic opportunity has become available for a Data Analyst to join a leading technical consultancy firm. This firm provides independent Airport IT and Baggage Handling System Consultancy services to some of the UK’s biggest airports. Based in Slough,  Berkshire, the successful Data Analyst will earn a competitive salary, varying dependant upon experience.When it comes to the aviation industry, this consultancy service is up there with the best. They deal with the delivery, management and engineering of large-scale Airport projects, principally working in the baggage handling and cargo environment. They are  known for the quality of their service and attribute their success to the dedicated and talented staff that work there. The successful Data Analyst will join the company’s welcoming and friendly workforce, reporting to the Senior Development Manager. As a  Data Analyst your main responsibilities will include but are not limited to: - Conducting full lifecycle analysis to include data requirements generation, activities of complex baggage data and associated design- Developing analysis and reporting capabilities, monitoring performance to identify improvements- Interpreting data, analysing your results using statistical techniques and providing ongoing reports- Developing, implementing and maintaining databases, data collection systems and other strategies that optimise statistical efficiency and quality- Acquiring data from primary or secondary data sources- Identifying, analysing and interpreting trends or patterns in complex data sets- Working with stakeholders to prioritise business and information needsTo be considered for the Data Analyst role you must have proven and demonstrable working experience as a data analyst or business data analyst. In addition the following key skills and experience are essential: - BSc in Mathematics, Economics, Computer Science, Information Management or Statistics- Technical expertise regarding data models, database design development, data mining and segmentation techniques- Strong knowledge of and experience with reporting packages (Power BI etc), databases (SQL etc), programming (XML and ETL frameworks)- Experience using statistical packages for analysing datasets (Excel, SPSS, SAS etc)- Strong analytical skills with the ability to collect, organise, analyse and disseminate significant amounts of information- Adapt at queries and presenting findings with the ability to generate professional looking reportsThe company will agree a training and development plan with the successful candidate.If you are interested in the Data Analyst role please apply by submitting a copy of your CV below.


 








                        Apply now
                    



Shortlisted
Shortlist



                        Share job
                    




Reference: 39709867
Bank or payment details should never be provided when applying for a job. For information on how to stay safe in your job search, visit SAFERjobs.
Report this job




 Get Job Alerts"
